-1,-1,1,-1,1,-1,0,19,0,-1,-1,-1,1,1,1,7,8,1.29,6,12,1
1,1,0,1,1,0,-1,17,-1,-1,0,0,1,1,1,8,8,1.25,6.5,15,1
0,0,0,1,-1,1,1,15,-1,-1,-1,0,1,-1,0,11,8,1.45,4.5,9,1
-1,0,1,1,1,-1,-1,11,1,0,-1,0,1,-1,-1,15,8,1.57,4.33,6.5,0
1,0,1,-1,-1,1,-1,11,-1,1,-1,0,1,1,-1,17,8,4.5,3.9,1.83,0
1,1,-1,0,1,-1,1,8,1,0,1,0,-1,1,0,10,8,2.3,3.3,3.5,0
-1,1,-1,0,-1,-1,1,10,1,0,-1,1,-1,1,1,1,8,1.62,4,6.5,1
1,0,-1,0,-1,1,-1,8,-1,-1,-1,0,-1,-1,-1,16,8,5.5,3.8,1.73,-1
-1,1,-1,-1,-1,1,0,10,1,-1,-1,-1,1,0,1,16,8,4,3.5,2.05,-1
-1,1,1,1,-1,1,1,3,1,1,-1,0,-1,1,-1,10,8,2.75,3.3,2.8,-1
1,-1,-1,-1,1,0,-1,10,0,0,-1,1,-1,-1,-1,18,9,3.4,3.4,2.3,-1
1,1,1,-1,1,1,-1,3,1,-1,1,-1,1,0,-1,22,9,11,5,1.36,-1
-1,1,0,-1,-1,1,0,20,0,1,0,-1,1,0,0,10,9,1.44,4.75,8,1
0,1,1,1,-1,-1,0,14,-1,1,0,-1,1,-1,0,8,9,1.33,5.5,11,1
1,1,1,-1,-1,-1,1,8,-1,0,0,1,1,1,-1,9,9,2.2,3.4,3.6,0
0,1,0,-1,1,1,0,18,1,-1,0,-1,1,-1,1,10,9,1.62,4,6.5,1
1,0,1,1,0,-1,1,20,-1,-1,0,-1,-1,-1,1,16,9,2.38,3.4,3.2,1
0,1,-1,1,-1,-1,1,4,0,-1,1,1,-1,1,0,11,9,2.9,3.3,2.63,1
1,-1,0,-1,-1,1,1,11,0,1,0,1,-1,1,1,9,9,1.75,3.8,5.25,0
1,1,1,-1,0,-1,-1,19,-1,-1,0,1,-1,0,-1,11,9,1.44,4.75,8,1
1,-1,1,-1,0,1,-1,25,-1,0,1,1,-1,0,-1,20,10,2.3,3.5,3.3,1
1,0,1,-1,1,-1,1,10,-1,-1,-1,1,1,0,-1,17,10,6.5,4.2,1.57,-1
1,0,-1,1,0,1,1,14,-1,1,-1,1,1,-1,-1,4,10,2.15,3.4,3.8,1
1,0,1,1,1,-1,1,19,-1,-1,1,1,1,-1,0,8,10,1.2,7.5,18,1
1,-1,-1,1,-1,0,1,14,0,-1,-1,0,1,-1,-1,20,10,6,4.2,1.62,1
-1,0,1,-1,1,0,1,9,-1,0,1,-1,-1,0,-1,19,10,3.3,3.3,2.4,0
-1,0,1,-1,0,0,1,13,-1,-1,1,-1,-1,1,1,3,10,1.55,4.2,7,1
-1,0,-1,1,-1,-1,0,10,1,1,1,-1,0,1,1,11,10,2.25,3.5,3.4,0
0,0,-1,-1,-1,1,0,12,1,0,1,1,-1,-1,0,11,10,3.4,3.4,2.3,1
0,1,-1,1,1,1,-1,19,-1,-1,1,0,1,1,-1,20,10,2.5,3.4,3,0
-1,-1,1,0,-1,-1,0,14,0,1,1,1,-1,0,-1,12,11,2,3.5,4.2,1
1,1,0,-1,1,1,1,21,0,-1,1,0,0,-1,-1,14,11,1.29,6,12,0
1,-1,1,1,-1,-1,1,4,-1,1,-1,-1,-1,1,0,20,11,6.5,4,1.62,0
0,-1,-1,1,0,1,1,23,0,-1,1,-1,1,-1,1,10,11,1.25,6.5,15,1
1,-1,-1,-1,1,0,1,11,0,1,-1,1,1,0,0,10,11,2.63,3.3,2.9,1
0,-1,1,1,0,1,0,22,0,1,-1,0,-1,-1,-1,14,11,1.62,3.8,7,1
1,1,-1,-1,0,1,-1,20,1,-1,1,0,-1,1,-1,25,11,2.35,3.5,3.2,1
-1,1,-1,-1,1,1,1,7,0,-1,-1,-1,1,-1,-1,19,11,9,5,1.4,1
0,-1,-1,1,1,0,1,12,0,-1,1,-1,0,-1,0,10,11,2,3.4,4.33,0
1,-1,0,-1,-1,1,0,20,1,1,-1,1,0,-1,-1,17,11,1.57,4.33,6.5,-1
1,-1,0,1,-1,1,1,28,1,-1,-1,0,-1,0,-1,22,12,1.62,4.2,6,1
-1,1,1,1,-1,0,0,21,1,1,-1,0,-1,-1,-1,24,12,3,3.4,2.5,0
1,-1,1,-1,1,-1,1,10,1,1,-1,-1,0,-1,0,15,12,3.3,3.3,2.38,-1
-1,1,0,1,1,1,1,14,1,-1,-1,1,1,-1,0,7,12,1.85,3.5,5,-1
-1,1,-1,0,1,1,-1,20,1,1,1,-1,0,-1,-1,11,12,1.8,3.8,4.75,1
1,-1,1,0,1,0,0,13,-1,1,1,-1,-1,-1,-1,7,12,2.15,3.3,3.9,1
-1,1,-1,-1,0,0,1,10,-1,0,1,-1,-1,-1,0,24,12,6,4.2,1.62,-1
-1,-1,-1,1,0,1,1,13,-1,1,1,0,-1,1,-1,21,12,6,4,1.65,0
1,1,1,-1,1,1,1,22,1,0,1,1,-1,0,1,20,12,1.7,4,5.5,1
1,-1,0,0,1,1,0,15,1,-1,0,1,1,0,-1,15,12,2.15,3.4,3.8,0
1,0,-1,-1,0,1,0,16,1,1,-1,-1,-1,-1,-1,8,13,2,3.4,4.33,0
-1,-1,1,0,1,1,0,13,1,0,-1,1,-1,-1,-1,31,13,6.5,4,1.62,-1
1,1,1,-1,0,0,0,24,1,-1,0,-1,0,0,-1,13,13,1.62,4,6.25,1
1,-1,0,1,1,-1,1,23,1,0,0,-1,-1,0,0,15,13,2.05,3.5,4,1
-1,-1,1,0,1,1,1,14,-1,-1,1,1,-1,0,1,7,13,2,3.4,4.33,1
1,-1,-1,0,0,1,-1,13,1,-1,1,-1,1,-1,1,10,13,1.91,3.5,4.6,1
0,-1,1,1,1,0,-1,27,-1,-1,0,-1,0,-1,-1,22,13,1.57,4.2,6.5,1
1,0,1,1,1,1,-1,17,1,-1,0,-1,-1,-1,0,24,13,6.5,4,1.62,1
1,1,-1,1,1,1,1,25,1,-1,-1,0,-1,0,1,15,13,1.29,6,13,1
0,-1,-1,1,0,-1,1,21,1,1,0,-1,1,-1,0,22,13,2.8,3.5,2.63,0
1,-1,-1,1,0,-1,1,10,1,1,0,0,-1,1,-1,13,14,3.25,3.3,2.4,1
0,1,-1,1,1,1,-1,34,0,-1,-1,-1,-1,1,-1,17,14,1.2,7.5,17,1
1,-1,1,-1,1,-1,1,10,1,1,-1,0,1,-1,0,24,14,5.8,3.9,1.67,-1
1,0,1,1,1,0,1,27,1,-1,0,-1,-1,-1,-1,14,14,1.29,6,12,1
-1,0,1,-1,1,0,0,22,-1,-1,1,0,0,0,-1,27,14,1.73,3.75,5.5,-1
1,0,1,0,1,1,1,22,0,1,1,0,-1,0,0,19,14,1.7,3.8,5.75,-1
1,0,1,0,0,1,1,14,1,-1,0,-1,-1,0,1,14,14,2.1,3.4,4,0
-1,1,1,1,1,1,0,8,1,-1,-1,-1,0,1,-1,30,14,6.5,4.33,1.55,-1
1,1,0,1,0,-1,1,18,1,0,-1,-1,1,-1,-1,23,14,2.2,3.5,3.5,1
0,0,1,1,0,0,1,15,-1,1,-1,-1,-1,-1,-1,28,14,6,4.2,1.62,-1
-1,-1,1,0,-1,1,1,13,-1,0,-1,-1,0,1,0,14,15,2.8,3.3,2.75,1
0,1,1,1,0,1,1,30,1,0,0,-1,1,-1,-1,13,15,1.29,6,12,1
0,1,-1,1,0,0,-1,22,0,-1,-1,1,-1,-1,-1,26,15,1.53,4.33,7,-1
0,1,0,1,1,1,-1,23,1,-1,-1,-1,-1,-1,1,29,15,5.25,3.8,1.75,0
