1,1,0,1,0,-1,-1,5,0,-1,-1,1,1,0,1,16,8,1
-1,1,0,1,-1,0,1,14,-1,0,-1,1,0,1,-1,11,8,0
0,1,0,1,1,0,1,14,0,-1,1,1,-1,0,1,10,8,-1
-1,1,1,-1,0,-1,1,2,0,-1,1,0,1,-1,0,12,8,1
1,1,-1,1,-1,1,-1,1,1,-1,1,0,1,-1,-1,5,9,1
1,-1,1,1,0,-1,0,17,1,-1,1,0,0,1,1,2,9,-1
1,0,-1,0,0,1,-1,2,1,1,-1,1,-1,1,-1,20,9,1
1,1,-1,-1,0,-1,1,14,-1,-1,-1,-1,-1,0,-1,8,9,1
1,-1,-1,1,0,-1,-1,9,-1,0,-1,1,0,-1,0,15,9,0
-1,-1,-1,-1,0,0,1,17,-1,0,-1,-1,0,-1,1,13,9,-1
-1,-1,1,0,-1,1,1,3,-1,0,1,-1,1,0,0,9,9,1
-1,1,-1,-1,-1,-1,-1,5,-1,-1,-1,0,1,-1,1,17,8,0
0,1,0,-1,-1,1,1,7,1,1,1,0,0,-1,1,17,10,1
1,1,1,1,0,1,1,5,1,-1,0,1,-1,-1,-1,3,9,1
0,1,1,0,1,-1,-1,13,-1,-1,1,0,1,-1,-1,2,10,-1
1,1,0,-1,1,-1,0,13,0,-1,0,0,0,1,-1,12,10,1
1,-1,0,0,-1,-1,-1,4,0,1,0,0,-1,1,-1,2,9,0
0,1,-1,0,1,0,0,17,-1,1,1,1,1,1,0,2,10,-1
1,-1,0,-1,1,0,1,10,1,-1,-1,0,1,0,1,19,10,1
1,-1,0,-1,1,1,1,6,-1,1,1,0,1,-1,-1,16,10,1
0,-1,1,-1,0,0,1,9,1,1,-1,0,1,1,0,11,9,1
-1,1,-1,1,-1,1,1,20,-1,1,-1,1,-1,1,-1,1,9,0
1,-1,0,-1,1,1,-1,2,-1,0,1,-1,1,0,-1,14,10,1
-1,0,0,1,-1,1,0,3,-1,-1,-1,0,-1,-1,-1,6,11,0
-1,-1,0,0,1,-1,1,19,-1,1,-1,1,-1,-1,0,17,11,-1
-1,-1,-1,-1,-1,0,-1,5,1,0,1,-1,-1,-1,-1,3,10,-1
-1,1,-1,1,-1,1,0,1,-1,0,1,1,-1,-1,-1,10,11,1
1,0,0,0,-1,1,1,11,1,-1,1,0,0,-1,-1,9,9,1
1,1,0,-1,0,-1,1,20,-1,1,0,-1,0,0,1,14,11,-1
-1,1,0,-1,-1,0,1,9,1,0,0,1,1,1,0,6,11,1
-1,-1,0,-1,1,1,1,17,1,0,1,-1,0,-1,-1,9,11,-1
1,0,-1,1,1,1,1,3,-1,-1,0,-1,1,1,1,15,11,1
1,0,1,-1,-1,-1,1,15,0,0,0,1,-1,-1,-1,9,12,-1
1,1,0,1,1,1,0,3,-1,0,1,0,1,-1,1,20,11,1
0,-1,-1,1,1,1,1,9,1,1,1,1,0,1,1,7,12,1
0,-1,1,-1,0,1,1,14,0,1,-1,-1,-1,-1,-1,3,12,1
0,-1,1,0,1,1,-1,8,1,0,0,-1,1,-1,1,19,12,1
1,-1,0,0,1,1,1,8,1,0,1,-1,-1,-1,1,17,11,1
-1,0,1,0,0,-1,-1,15,1,0,1,-1,-1,1,-1,2,12,-1
-1,1,-1,1,1,0,-1,15,-1,0,1,1,0,-1,-1,13,11,1
0,0,-1,-1,-1,0,1,3,-1,1,-1,1,-1,0,-1,1,11,1
0,-1,1,1,1,1,-1,3,0,0,-1,1,-1,0,0,5,12,1
0,0,-1,1,1,1,-1,8,0,-1,0,0,1,1,1,15,11,1
0,-1,1,1,-1,1,-1,2,-1,0,-1,-1,-1,0,-1,3,12,-1
-1,-1,-1,0,-1,-1,1,8,0,1,1,1,0,-1,-1,3,12,-1
-1,1,-1,1,0,1,1,1,1,-1,0,-1,-1,1,-1,10,13,1
-1,1,1,1,1,1,1,6,1,1,-1,-1,-1,-1,-1,10,13,0
0,-1,0,-1,1,-1,1,20,0,-1,1,1,1,-1,1,14,13,-1
0,-1,1,1,1,-1,1,16,-1,1,-1,-1,0,1,-1,17,13,1
0,1,-1,1,0,0,1,6,1,0,0,-1,-1,-1,-1,8,13,0
0,-1,-1,0,1,1,1,11,1,-1,1,0,-1,-1,-1,14,13,1
0,1,1,1,0,1,-1,2,1,-1,-1,-1,-1,-1,0,11,13,1
1,-1,-1,-1,1,-1,-1,14,1,1,0,1,1,-1,1,8,14,1
1,1,1,1,1,1,0,7,0,1,-1,-1,-1,1,-1,6,14,-1
-1,0,-1,1,-1,1,-1,20,0,0,-1,1,-1,1,-1,19,14,-1
-1,1,1,-1,1,-1,-1,3,-1,1,-1,0,0,-1,0,4,13,-1
1,0,0,-1,-1,-1,1,17,-1,1,-1,0,-1,-1,-1,1,14,-1
-1,1,1,0,-1,1,1,15,-1,0,-1,-1,1,-1,-1,11,13,1
1,-1,0,1,1,1,1,14,1,-1,-1,-1,-1,1,-1,6,14,1
-1,-1,0,1,1,1,1,9,1,-1,-1,-1,1,-1,-1,17,14,0
0,0,1,1,1,1,0,9,1,1,1,0,-1,-1,1,2,13,-1
0,-1,1,-1,1,-1,-1,20,1,-1,-1,-1,1,-1,1,4,15,-1
1,1,1,-1,1,-1,-1,2,-1,-1,1,-1,1,1,1,5,14,1
1,1,1,1,1,0,1,12,-1,-1,0,1,-1,-1,-1,14,15,-1
1,1,1,1,-1,1,1,4,-1,-1,-1,0,-1,1,-1,4,14,1
-1,1,0,1,1,1,-1,1,1,0,-1,-1,-1,-1,0,9,15,1
0,1,1,-1,1,1,1,9,1,1,1,-1,1,1,-1,14,15,0
-1,1,0,0,1,0,-1,3,1,-1,1,-1,1,1,1,20,15,1
1,1,1,-1,1,1,0,17,1,0,-1,-1,-1,-1,-1,14,15,0
-1,-1,0,1,1,-1,-1,2,0,0,1,1,1,-1,1,18,14,1
-1,0,-1,-1,1,-1,1,9,-1,-1,-1,-1,-1,0,1,8,14,-1
0,1,-1,1,-1,1,-1,19,0,-1,-1,-1,-1,0,1,9,14,-1
1,1,-1,1,-1,-1,1,2,0,-1,-1,-1,-1,0,-1,10,15,1
1,-1,1,-1,1,-1,-1,18,0,-1,-1,-1,-1,-1,0,14,15,1
1,1,1,1,0,1,-1,10,-1,-1,-1,-1,0,1,1,9,16,1
1,1,1,-1,1,1,1,4,1,1,-1,1,1,-1,0,14,15,0
0,-1,-1,1,-1,1,-1,9,-1,1,-1,1,1,1,-1,20,15,1
1,0,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,7,16,1
1,1,-1,1,1,0,0,15,-1,-1,-1,-1,0,1,1,8,16,1
1,1,-1,1,1,1,0,9,-1,-1,0,-1,1,-1,-1,6,16,1
-1,0,1,1,-1,-1,1,2,-1,0,1,-1,-1,-1,1,14,15,0
1,0,0,1,0,-1,1,4,0,1,1,1,-1,1,-1,19,16,1
